Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,xg,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels,offensive_duels.1,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,xa,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes,forward_passes.1,back_passes,back_passes.1,Pass Accuracy (%),Long Pass Accuracy (%),Cross Accuracy (%),Dribble Accuracy (%),Foul Percentage (%),Match Count (Won),Match Count (Lost)
12.229166666666671,1.4583333333333286,0.875,0.375,0.10416666666666667,1.0833333333333335,0.625,0.30604166666666666,1.1458333333333321,1.270833333333334,0.1875,0.041666666666666664,0.1875,0.08333333333333333,0.39583333333333326,-0.27083333333333337,-0.0833333333333357,-0.6041666666666661,-0.979166666666667,0.10416666666666652,-0.20833333333333326,-1.645833333333333,-3.0,0.4375,0.7708333333333333,2.1458333333333335,0.0,-0.8958333333333335,-0.9999999999999998,0.3958333333333335,-0.1875,0.125,0.041666666666666664,-0.5,0.47916666666666663,0.041666666666666664,0.0,0.18750000000000006,1.395833333333333,0.47916666666666674,0.6458333333333335,-0.04166666666666663,0.02083333333333337,-0.8125000000000001,-0.18749999999999997,0.041666666666666664,0.051666666666666666,0.0625,-0.27083333333333337,-0.16666666666666663,0.22916666666666669,0.2708333333333333,-1.520833333333334,1.0625,1.1041666666666667,0.5416666666666665,0.04166666666666652,-0.11042385582827308,4.166666666666667,8.333333333333334,-32.81250000000001,-9.931472949565055,48,3.0
20.818181818181817,23.0,18.90909090909091,0.0,0.0,0.18181818181818182,0.0,0.02,16.545454545454547,15.818181818181818,2.0,1.6363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.0,4.181818181818182,2.5454545454545454,1.1818181818181819,0.7272727272727273,1.1818181818181819,1.7272727272727273,0.6363636363636364,3.4545454545454546,0.36363636363636365,0.0,0.0,2.1818181818181817,1.5454545454545454,0.18181818181818182,0.18181818181818182,0.0,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.0,0.025454545454545455,0.0,2.4545454545454546,2.0,0.09090909090909091,0.09090909090909091,12.0,5.2727272727272725,4.7272727272727275,1.0909090909090908,1.0909090909090908,70.79223125564589,53.78787878787878,9.090909090909092,0.0,0.0,11,
-38.22480620155039,-5.333333333333336,-10.635658914728683,0.32558139534883723,0.046511627906976744,0.05426356589147274,0.054263565891472854,-0.1105426356589147,-6.767441860465116,-3.5193798449612395,-5.4186046511627906,-3.550387596899225,-0.13953488372093026,-0.1705426356589147,-3.782945736434108,-3.48062015503876,3.209302325581394,-3.232558139534884,1.0077519379844966,-0.7674418604651163,-0.17829457364341095,0.08527131782945752,-1.2093023255813953,-3.3875968992248064,-1.3953488372093024,1.7674418604651163,0.0,-1.054263565891473,-0.1550387596899223,1.310077519379845,0.11627906976744184,0.046511627906976744,0.023255813953488372,-0.8914728682170542,0.11627906976744184,0.023255813953488372,0.0,0.13178294573643412,1.945736434108527,-2.4263565891472867,0.41860465116279055,0.3023255813953488,-0.8527131782945736,0.28682170542635665,-0.14728682170542634,0.046511627906976744,0.03085271317829457,0.0,-0.5658914728682172,-0.48062015503875966,-0.31007751937984485,-0.4418604651162791,-2.9689922480620154,-5.519379844961241,-3.3410852713178296,2.612403100775193,2.6511627906976742,6.852484694381033,-23.360347662673234,-23.062015503875973,-3.7937062937063075,inf,43,3.0
90.0,86.0,57.0,0.0,0.0,0.0,0.0,0.0,52.0,43.0,4.0,2.0,2.0,0.0,3.0,0.0,26.0,11.0,0.0,0.0,6.0,10.0,2.0,12.0,4.0,0.0,0.0,14.0,9.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,36.0,20.0,16.0,13.0,11.0,82.6923076923077,50.0,0.0,0.0,11.11111111111111,1,
72.625,54.375,33.541666666666664,0.125,0.041666666666666664,0.8333333333333334,0.3333333333333333,0.056249999999999994,28.333333333333332,22.458333333333332,4.041666666666667,2.0,0.4166666666666667,0.041666666666666664,1.6666666666666667,0.9583333333333334,18.833333333333332,9.75,4.0,2.0833333333333335,3.9583333333333335,8.875,3.625,8.291666666666666,2.5416666666666665,11.666666666666666,0.0,7.291666666666667,4.208333333333333,2.6666666666666665,1.3333333333333333,0.5833333333333334,0.2916666666666667,1.0,1.5416666666666667,0.16666666666666666,0.0,0.3333333333333333,4.875,2.125,0.6666666666666666,0.0,0.9583333333333334,0.75,0.20833333333333334,0.0,0.01958333333333333,0.041666666666666664,5.75,3.75,0.8333333333333334,0.20833333333333334,16.708333333333332,8.625,5.541666666666667,4.333333333333333,4.0,77.91432233549746,42.416056166056165,0.8333333333333334,47.22222222222222,15.40509259259259,24,
-19.08,-15.82,-9.260000000000002,0.08,-0.5,-0.28,-0.76,-0.02820000000000001,-4.300000000000001,-2.4200000000000017,0.31999999999999984,0.38,-1.58,-0.43999999999999995,-1.32,-1.24,-7.539999999999999,-5.58,-3.4400000000000004,-0.5800000000000001,0.4800000000000004,-2.26,0.9199999999999999,1.5199999999999996,0.8,-58.9,0.0,-0.3200000000000003,-1.5599999999999996,-0.2599999999999998,-0.8,-0.98,-1.22,-0.98,-0.06000000000000005,-0.88,0.0,-0.31999999999999995,-3.5199999999999996,-2.6399999999999997,-1.4,0.08,-0.8400000000000001,0.14,0.12,0.0,0.04479999999999999,-0.42,0.20000000000000018,-0.15999999999999992,-1.66,-0.48,-3.4399999999999995,-1.1999999999999993,-0.96,-1.7999999999999998,-1.58,4.026943973564187,2.1428571428571423,-12.26666666666667,-20.16666666666667,12.960461760461762,25,2.0
101.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,8.0,7.0,0.0,0.0,95.83333333333334,75.0,0.0,0.0,0.0,1,
-10.179487179487168,-10.551282051282051,-0.8846153846153832,0.038461538461538464,0.15384615384615385,0.3076923076923077,0.11538461538461539,0.02846153846153846,0.5512820512820511,2.7820512820512846,0.6153846153846154,0.3974358974358976,0.9358974358974359,0.2820512820512821,-1.3717948717948714,-1.051282051282051,-8.115384615384615,-4.17948717948718,-1.0384615384615385,-0.7948717948717948,-1.5641025641025639,-3.448717948717949,-0.3717948717948718,-2.102564102564103,-1.8846153846153846,0.0,0.0,-3.5384615384615383,-1.5,-1.2948717948717947,-0.41025641025641013,-0.17948717948717946,0.0,0.8205128205128205,-0.46153846153846156,0.0,0.0,-0.564102564102564,-2.2435897435897436,-1.474358974358974,0.29487179487179493,-0.47435897435897434,-0.10256410256410242,-0.8333333333333333,-0.7307692307692308,0.038461538461538464,0.06564102564102564,0.038461538461538464,0.39743589743589736,0.0769230769230771,0.26923076923076916,0.07692307692307687,1.8589743589743595,-1.602564102564104,-0.26923076923076916,-0.6538461538461537,-0.5512820512820511,4.654861157539102,7.4313186813186825,12.40537240537241,-7.434371184371194,-4.716586831971448,26,3.0
0.7666666666666657,0.6000000000000014,0.43333333333333357,0.0,0.0,0.0,0.0,0.0,1.8000000000000007,1.2666666666666675,-0.4666666666666668,-0.5,0.0,0.0,0.03333333333333333,0.03333333333333333,-0.6666666666666667,-0.8333333333333333,-1.0666666666666667,-1.1333333333333333,-0.10000000000000009,-1.666666666666667,0.16666666666666674,-3.0666666666666664,0.0,0.0,0.0,0.1,0.06666666666666667,0.2,0.13333333333333333,0.0,0.0,-1.3666666666666667,0.03333333333333333,0.0,0.0,0.0,0.1,0.1,0.03333333333333333,0.0,0.0,-0.6,0.1,0.0,0.0,0.0,-0.2666666666666666,-0.33333333333333326,-0.8333333333333334,0.0,1.2999999999999998,1.3000000000000007,0.06666666666666643,0.0,0.0,-0.4852206711956768,0.024928774928774544,0.0,3.3333333333333335,,30,1.0
-33.274509803921575,-48.274509803921575,-26.568627450980394,0.0196078431372549,0.09803921568627451,-0.7254901960784313,0.11764705882352941,0.02725490196078431,-37.8235294117647,-17.333333333333332,-10.980392156862745,-3.019607843137255,-5.0,-0.6666666666666667,0.2941176470588234,0.7058823529411766,-8.823529411764707,-5.588235294117647,-2.5098039215686274,-0.5098039215686274,-1.5882352941176467,-11.196078431372548,-6.235294117647059,-4.705882352941176,0.8823529411764706,4.470588235294118,0.0,3.6078431372549016,1.1372549019607847,-2.1372549019607843,-1.8627450980392157,0.17647058823529413,0.11764705882352941,0.7058823529411764,-0.37254901960784315,0.09803921568627451,0.0,0.9019607843137255,-7.784313725490197,-4.352941176470588,-0.196078431372549,0.1568627450980392,-5.745098039215686,-5.627450980392156,-1.0196078431372548,0.21568627450980393,0.11098039215686274,0.0196078431372549,-6.901960784313726,-4.313725490196079,-7.372549019607844,-0.43137254901960786,-24.176470588235293,-18.862745098039216,-8.352941176470589,-7.568627450980392,-6.764705882352941,12.053275887650479,3.2873662285426946,11.148459383753497,11.356209150326798,-27.56013866307984,51,1.0
59.25,65.875,42.375,0.25,0.375,2.875,1.0,0.4425,39.75,32.0,6.25,4.125,3.25,1.75,5.5,3.75,17.75,8.625,2.375,1.125,1.0,11.5,1.375,4.875,2.375,2.625,0.0,2.125,0.75,1.375,0.375,0.125,0.0,0.0,0.875,0.125,0.0,2.5,11.875,6.375,2.5,0.125,2.75,0.625,2.125,1.0,0.30624999999999997,0.25,8.375,5.625,6.125,3.75,28.875,11.25,7.375,6.375,6.125,80.78788688539827,72.34375,61.01190476190476,69.3452380952381,4.514986824769434,8,
21.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1,
34.0,27.5,19.5,0.0,0.0,0.0,0.0,0.0,21.5,18.5,3.0,1.0,0.0,0.0,0.5,0.0,3.0,0.5,0.5,0.0,3.0,4.0,1.5,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,0.5,0.0,18.0,8.5,6.0,1.0,1.0,83.0952380952381,25.0,0.0,0.0,0.0,2,
-18.27777777777777,-13.388888888888886,-13.916666666666664,0.027777777777777776,0.0,0.3055555555555556,0.027777777777777776,0.05277777777777778,-5.777777777777779,-8.444444444444443,1.8055555555555554,-0.13888888888888928,0.5277777777777778,0.2777777777777778,-1.5277777777777777,-1.3333333333333335,-4.305555555555555,-3.5277777777777777,0.2777777777777777,0.6666666666666667,0.2777777777777777,1.25,2.111111111111111,-1.0277777777777786,-0.41666666666666674,8.0,0.0,-1.0,-1.8611111111111107,-1.2222222222222223,-1.6944444444444444,-0.16666666666666669,-0.3055555555555556,-1.1944444444444446,0.13888888888888884,0.1111111111111111,0.0,0.3611111111111111,-2.361111111111111,-0.6388888888888888,0.5,0.0,1.0833333333333335,-0.05555555555555558,0.9444444444444444,0.25,0.028333333333333335,-0.5,3.6944444444444446,1.9444444444444446,1.5,0.75,-7.027777777777779,2.0,0.5,-2.0555555555555554,-1.6944444444444446,-5.319634309242488,-11.73119407252534,19.444444444444443,-42.824074074074076,3.015873015873016,36,2.0
109.0,29.0,23.5,0.0,0.0,0.0,0.0,0.0,21.5,20.5,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,12.0,9.0,8.5,0.0,0.0,95.83333333333333,90.0,0.0,0.0,0.0,2,
54.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,8.0,0.0,0.0,93.33333333333333,83.33333333333334,0.0,0.0,0.0,1,
95.0,89.0,65.0,0.0,0.0,1.0,1.0,0.73,57.0,47.0,5.0,1.0,0.0,0.0,3.0,1.0,20.0,11.0,0.0,0.0,7.0,8.0,6.0,9.0,1.0,0.0,0.0,9.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,2.0,0.0,0.0,0.0,35.0,15.0,10.0,14.0,13.0,82.45614035087719,20.0,0.0,33.33333333333333,0.0,1,
-18.578947368421055,-19.842105263157897,-11.605263157894736,-0.39473684210526316,-0.03947368421052633,-0.18421052631578938,0.07894736842105265,-0.056447368421052635,-11.763157894736842,-8.381578947368421,-2.0657894736842106,-0.42105263157894735,-3.552631578947368,-0.4605263157894737,0.8684210526315788,-0.19736842105263142,-4.131578947368421,-2.0394736842105257,0.6578947368421053,0.26315789473684204,-1.0657894736842106,-3.921052631578947,-0.48684210526315796,-2.8157894736842106,-1.4342105263157894,0.0,0.0,-0.6315789473684212,-0.02631578947368407,-2.513157894736842,-0.44736842105263164,0.15789473684210525,0.05263157894736842,-0.4736842105263158,-0.6578947368421053,0.0,0.0,-0.5263157894736843,-1.6447368421052637,-1.8289473684210527,-1.3157894736842106,0.11842105263157893,-0.18421052631578938,-0.5526315789473685,0.9210526315789473,0.3684210526315789,-0.10407894736842105,0.0,0.36842105263157876,-0.13157894736842124,-2.5131578947368425,0.1578947368421053,-7.828947368421051,-1.1052631578947363,-1.223684210526316,-3.4868421052631575,-3.5526315789473686,-7.307829787166568,19.952010708589654,18.376108540582226,-2.701606958572903,-0.7767086714455136,19,4.0
105.0,59.0,26.0,0.0,0.0,3.0,0.0,0.15,23.0,16.0,0.0,0.0,2.0,0.0,7.0,1.0,25.0,9.0,4.0,2.0,1.0,16.0,1.0,3.0,2.0,51.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,15.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,2.0,0.0,18.0,6.0,3.0,4.0,4.0,69.56521739130434,0.0,0.0,14.285714285714285,6.666666666666667,1,
4.775971451229182,4.834179222839012,6.572640761300555,0.09555908009516256,-0.0047581284694686865,-0.07486122125297379,-0.14123711340206185,-0.006072164948453612,6.279777954004757,5.909912767644727,1.9291831879460746,1.0316415543219668,0.23084853291038865,0.11149881046788263,-0.00808881839809672,0.22957969865186345,-0.39468675654242524,1.0165741475019834,0.35487708168120546,0.4238699444885011,0.2153846153846155,-0.051308485329103704,0.03806502775574927,0.90650277557494,0.06740681998413933,0.1303727200634417,0.19381443298969073,-0.06780333068992839,0.34321966693100725,-0.7301348136399681,-0.22743854084060267,0.0859635210150674,0.037827121332275976,-0.15321173671689126,0.05741475019825537,0.006899286280729576,0.002061855670103093,-0.09920697858842187,0.0483743061062647,0.4769230769230768,-0.5567010309278351,-0.05416336241078509,0.20761300555115003,-0.12839016653449642,0.1966693100713719,0.07494052339413164,0.0002934179222839062,0.024742268041237112,1.0616970658207774,0.6238699444885012,0.4590007930214116,0.2600317208564631,4.522997620935763,2.3302934179222845,1.7560666137985725,0.8796986518636003,0.8424266455194291,5.765812804296743,8.444486776662579,7.926063627094554,3.551009717322639,inf,485,26.0
57.0625,32.1875,14.6875,0.125,0.125,0.5,0.125,0.1975,12.1875,9.8125,0.3125,0.125,0.375,0.125,1.3125,0.6875,13.6875,4.4375,2.5,0.25,0.625,5.6875,1.625,2.25,1.5625,5.1875,0.0,2.3125,1.375,2.5,0.875,0.0,0.0,0.125,0.5625,0.1875,0.0,0.375,6.375,1.9375,0.9375,0.0625,0.25,1.0,0.125,0.0,0.074375,0.0,1.1875,0.9375,0.3125,0.1875,6.6875,2.4375,1.6875,2.8125,2.5,77.95981285870992,8.333333333333332,12.5,34.89583333333333,13.390376984126984,16,
20.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,11.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,80.0,0.0,100.0,100.0,0.0,1,
-19.97619047619048,-11.317460317460316,-4.206349206349209,0.0,0.07142857142857142,-0.38888888888888884,0.1111111111111111,-0.10404761904761903,-3.1746031746031775,-1.5952380952380985,-0.9761904761904763,-0.17460317460317443,-0.1507936507936508,0.05555555555555555,-0.8571428571428568,-0.6111111111111112,-4.8015873015873005,-2.571428571428571,-1.2301587301587302,-0.3650793650793651,-1.595238095238095,-1.7936507936507944,-0.785714285714286,-2.634920634920636,-0.16666666666666674,-17.61111111111111,0.29365079365079366,-0.7857142857142856,-0.8095238095238093,-2.1269841269841274,-0.6587301587301588,0.023809523809523836,0.1111111111111111,-1.3571428571428574,-0.25396825396825384,-0.15079365079365079,0.007936507936507936,0.0,-0.6587301587301582,-0.7380952380952381,-0.6190476190476191,0.0,-0.23015873015873023,0.17460317460317465,0.06349206349206349,-0.007936507936507936,0.0030952380952380884,0.03968253968253968,-0.25396825396825395,0.2936507936507935,-0.03968253968253954,-0.15873015873015878,0.722222222222225,-1.7063492063492074,-0.2857142857142865,0.5317460317460321,0.4920634920634921,1.5330760506287646,3.7368184674870477,1.2301587301587311,-17.62855310474358,inf,126,14.0
-15.86666666666666,-3.6857142857142833,-2.0063492063492063,0.07936507936507936,0.18888888888888888,-0.12063492063492065,0.09682539682539681,-0.02774603174603177,2.406349206349205,1.2888888888888879,0.8380952380952382,0.10317460317460303,0.1428571428571428,0.1380952380952381,-3.174603174603175,-2.1857142857142855,-2.768253968253969,-1.511111111111111,-0.7920634920634919,-0.36031746031746026,-0.3476190476190477,-0.33968253968254025,-0.6730158730158728,0.15873015873015905,0.47142857142857153,5.977777777777778,0.0,2.006349206349206,1.2666666666666666,-0.5047619047619047,-0.38730158730158726,-0.21904761904761905,-0.2634920634920635,-0.24603174603174593,0.5142857142857143,0.08888888888888889,0.0,0.48888888888888893,-3.477777777777778,-2.03015873015873,-0.553968253968254,-0.07460317460317459,-1.180952380952381,-0.8253968253968254,0.10793650793650789,0.12380952380952381,0.1063809523809524,0.03333333333333333,2.5476190476190474,2.185714285714286,1.723809523809524,1.046031746031746,-0.07619047619047592,1.8904761904761909,0.5333333333333332,-0.11111111111111072,-0.43492063492063426,-1.4416225166649355,-12.745029661696336,15.527777777777779,-18.266590946415505,-5.523678585653375,90,7.0
